B2 F01 AC 9203 - S FL 01 Area C Int Int Shaft,25
B2 F01 AC 9206 - S FL 01 Area C Int Int Backi,51
B2 F01 AC 9250 - S FL 01 Area C Int Drywall H,527
B2 F01 AC 9270 - S FL 01 Area C Int Firetape ,160
B2 F01 AC 9280 - S FL 01 Area C Int Tape Wall,300
B2 F01 AD 5400 - S FL 01 Area D Int Ext Frame,23
B2 F01 AD 7200 - S FL 01 Area D Int Int Insul,128
B2 F01 AD 9200 - S FL 01 Area D Int Int Layou,33
B2 F01 AD 9201 - S FL 01 Area D Int Int Frame,304
B2 F01 AD 9202 - S FL 01 Area D Int Int Top T,92
B2 F01 AD 9206 - S FL 01 Area D Int Int Backi,60
B2 F01 AD 9250 - S FL 01 Area D Int Drywall H,693
B2 F01 AD 9270 - S FL 01 Area D Int Firetape ,175
B2 F01 AD 9280 - S FL 01 Area D Int Tape Wall,558
B2 F01 AG 5390 - S FL 01 Area C Ext Ext ,6
B2 F01 AG 5400 - S FL 01 Area C Ext Ext Frame,71
B2 F01 AG 5450 - S FL 01 Area C Ext Sheathing,40
B2 F01 AG 7100 - S FL 01 Area C Ext Ext Insul,38
B2 F01 AG 9250 - S FL 01 Area C Ext Drywall H,63
B2 F01 AG 9265 - S FL 01 Area C Ext Ext Firet,40
B2 F01 AG 9270 - S FL 01 Area C Ext Firetape ,18
B2 F01 AG 9280 - S FL 01 Area C Ext Tape Wall,40
B2 F01 AH 5390 - S FL 01 Area D Ext Ext ,4
B2 F01 AH 5400 - S FL 01 Area D Ext Ext Frame,131
B2 F01 AH 5450 - S FL 01 Area D Ext Sheathing,121
B2 F01 AH 7100 - S FL 01 Area D Ext Ext Insul,98
B2 F01 AH 9200 - S FL 01 Area D Ext Int Layou,6
B2 F01 AH 9201 - S FL 01 Area D Ext Int Frame,98
B2 F01 AH 9202 - S FL 01 Area D Ext Int Top T,29
B2 F01 AH 9206 - S FL 01 Area D Ext Int Backi,12
B2 F01 AH 9250 - S FL 01 Area D Ext Drywall H,127
B2 F01 AH 9265 - S FL 01 Area D Ext Ext Firet,29
B2 F01 AH 9270 - S FL 01 Area D Ext Firetape ,11
B2 F01 AH 9280 - S FL 01 Area D Ext Tape Wall,150
B2 F02 AC 5400 - S FL 02 Area C Int Ext Frame,22
B2 F02 AC 7200 - S FL 02 Area C Int Int Insul,96
B2 F02 AC 9200 - S FL 02 Area C Int Int Layou,25
B2 F02 AC 9201 - S FL 02 Area C Int Int Frame,173
B2 F02 AC 9202 - S FL 02 Area C Int Int Top T,71
B2 F02 AC 9203 - S FL 02 Area C Int Int Shaft,32
B2 F02 AC 9206 - S FL 02 Area C Int Int Backi,50
B2 F02 AC 9250 - S FL 02 Area C Int Drywall H,553
B2 F02 AC 9270 - S FL 02 Area C Int Firetape ,171
B2 F02 AC 9280 - S FL 02 Area C Int Tape Wall,277
B2 F02 AD 5400 - S FL 02 Area D Int Ext Frame,7
B2 F02 AD 7200 - S FL 02 Area D Int Int Insul,88
B2 F02 AD 9200 - S FL 02 Area D Int Int Layou,21
B2 F02 AD 9201 - S FL 02 Area D Int Int Frame,189
B2 F02 AD 9202 - S FL 02 Area D Int Int Top T,59
B2 F02 AD 9203 - S FL 02 Area D Int Int Shaft,18
B2 F02 AD 9206 - S FL 02 Area D Int Int Backi,41
B2 F02 AD 9250 - S FL 02 Area D Int Drywall H,552
B2 F02 AD 9270 - S FL 02 Area D Int Firetape ,94
B2 F02 AD 9280 - S FL 02 Area D Int Tape Wall,356
B2 F02 AG 5390 - S FL 02 Area C Ext Ext ,5
B2 F02 AG 5400 - S FL 02 Area C Ext Ext Frame,57
B2 F02 AG 5450 - S FL 02 Area C Ext Sheathing,39
B2 F02 AG 7100 - S FL 02 Area C Ext Ext Insul,31
B2 F02 AG 9250 - S FL 02 Area C Ext Drywall H,51
B2 F02 AG 9265 - S FL 02 Area C Ext Ext Firet,39
B2 F02 AG 9270 - S FL 02 Area C Ext Firetape ,14
B2 F02 AG 9280 - S FL 02 Area C Ext Tape Wall,32
B2 F02 AH 5390 - S FL 02 Area D Ext Ext ,6
B2 F02 AH 5400 - S FL 02 Area D Ext Ext Frame,112
B2 F02 AH 5450 - S FL 02 Area D Ext Sheathing,50
B2 F02 AH 7100 - S FL 02 Area D Ext Ext Insul,40
B2 F02 AH 9250 - S FL 02 Area D Ext Drywall H,64
B2 F02 AH 9265 - S FL 02 Area D Ext Ext Firet,51
B2 F02 AH 9270 - S FL 02 Area D Ext Firetape ,19
B2 F02 AH 9280 - S FL 02 Area D Ext Tape Wall,41
B2 F03 AC 7200 - S FL 03 Area C Int Int Insul,94
B2 F03 AC 9200 - S FL 03 Area C Int Int Layou,24
B2 F03 AC 9201 - S FL 03 Area C Int Int Frame,193
B2 F03 AC 9202 - S FL 03 Area C Int Int Top T,68
B2 F03 AC 9203 - S FL 03 Area C Int Int Shaft,34
B2 F03 AC 9206 - S FL 03 Area C Int Int Backi,48
B2 F03 AC 9250 - S FL 03 Area C Int Drywall H,529
B2 F03 AC 9270 - S FL 03 Area C Int Firetape ,167
B2 F03 AC 9280 - S FL 03 Area C Int Tape Wall,258
B2 F03 AD 5400 - S FL 03 Area D Int Ext Frame,7
B2 F03 AD 7200 - S FL 03 Area D Int Int Insul,51
B2 F03 AD 9200 - S FL 03 Area D Int Int Layou,11
B2 F03 AD 9201 - S FL 03 Area D Int Int Frame,71
B2 F03 AD 9202 - S FL 03 Area D Int Int Top T,32
B2 F03 AD 9203 - S FL 03 Area D Int Int Shaft,25
B2 F03 AD 9206 - S FL 03 Area D Int Int Backi,23
B2 F03 AD 9250 - S FL 03 Area D Int Drywall H,313
B2 F03 AD 9270 - S FL 03 Area D Int Firetape ,54
B2 F03 AD 9280 - S FL 03 Area D Int Tape Wall,189
B2 F03 AG 5390 - S FL 03 Area C Ext Ext ,4
B2 F03 AG 5400 - S FL 03 Area C Ext Ext Frame,48
B2 F03 AG 5450 - S FL 03 Area C Ext Sheathing,32
