build,floor,area,hour,full,label
Building 1 North,Floor 03,Area B Exterior,31,B1 F03 AF 9280 - N FL 03 Area B Ext Tape Wall,Tape Wall
Building 1 North,Floor 04,Area A,16,B1 F04 AA 5400 - N FL 04 Area A Int Ext Frame,Ext Frame
Building 1 North,Floor 04,Area A,80,B1 F04 AA 7200 - N FL 04 Area A Int Int Insul,Int Insul
Building 1 North,Floor 04,Area A,20,B1 F04 AA 9200 - N FL 04 Area A Int Int Layou,Int Layou
Building 1 North,Floor 04,Area A,198,B1 F04 AA 9201 - N FL 04 Area A Int Int Frame,Int Frame
Building 1 North,Floor 04,Area A,58,B1 F04 AA 9202 - N FL 04 Area A Int Int Top T,Int Top T
Building 1 North,Floor 04,Area A,12,B1 F04 AA 9203 - N FL 04 Area A Int Int Shaft,Int Shaft
Building 1 North,Floor 04,Area A,40,B1 F04 AA 9206 - N FL 04 Area A Int Int Backi,Int Backi
Building 1 North,Floor 04,Area A,419,B1 F04 AA 9250 - N FL 04 Area A Int Drywall H,Drywall H
Building 1 North,Floor 04,Area A,110,B1 F04 AA 9270 - N FL 04 Area A Int Firetape ,Firetape
Building 1 North,Floor 04,Area A,265,B1 F04 AA 9280 - N FL 04 Area A Int Tape Wall,Tape Wall
Building 1 North,Floor 04,Area A Exterior,4,B1 F04 AE 5390 - N FL 04 Area A Ext Ext ,Ext
Building 1 North,Floor 04,Area A Exterior,51,B1 F04 AE 5400 - N FL 04 Area A Ext Ext Frame,Ext Frame
Building 1 North,Floor 04,Area A Exterior,35,B1 F04 AE 5450 - N FL 04 Area A Ext Sheathing,Sheathing
Building 1 North,Floor 04,Area A Exterior,28,B1 F04 AE 7100 - N FL 04 Area A Ext Ext Insul,Ext Insul
Building 1 North,Floor 04,Area A Exterior,49,B1 F04 AE 9250 - N FL 04 Area A Ext Drywall H,Drywall H
Building 1 North,Floor 04,Area A Exterior,35,B1 F04 AE 9265 - N FL 04 Area A Ext Ext Firet,Ext Firet
Building 1 North,Floor 04,Area A Exterior,13,B1 F04 AE 9270 - N FL 04 Area A Ext Firetape ,Firetape
Building 1 North,Floor 04,Area A Exterior,29,B1 F04 AE 9280 - N FL 04 Area A Ext Tape Wall,Tape Wall
Building 1 North,Floor 04,Area B,8,B1 F04 AB 5400 - N FL 04 Area B Int Ext Frame,Ext Frame
Building 1 North,Floor 04,Area B,57,B1 F04 AB 7200 - N FL 04 Area B Int Int Insul,Int Insul
Building 1 North,Floor 04,Area B,15,B1 F04 AB 9200 - N FL 04 Area B Int Int Layou,Int Layou
Building 1 North,Floor 04,Area B,164,B1 F04 AB 9201 - N FL 04 Area B Int Int Frame,Int Frame
Building 1 North,Floor 04,Area B,42,B1 F04 AB 9202 - N FL 04 Area B Int Int Top T,Int Top T
Building 1 North,Floor 04,Area B,30,B1 F04 AB 9206 - N FL 04 Area B Int Int Backi,Int Backi
Building 1 North,Floor 04,Area B,234,B1 F04 AB 9250 - N FL 04 Area B Int Drywall H,Drywall H
Building 1 North,Floor 04,Area B,85,B1 F04 AB 9270 - N FL 04 Area B Int Firetape ,Firetape
Building 1 North,Floor 04,Area B,181,B1 F04 AB 9280 - N FL 04 Area B Int Tape Wall,Tape Wall
Building 1 North,Floor 04,Area B Exterior,5,B1 F04 AF 5390 - N FL 04 Area B Ext Ext ,Ext
Building 1 North,Floor 04,Area B Exterior,55,B1 F04 AF 5400 - N FL 04 Area B Ext Ext Frame,Ext Frame
Building 1 North,Floor 04,Area B Exterior,37,B1 F04 AF 5450 - N FL 04 Area B Ext Sheathing,Sheathing
Building 1 North,Floor 04,Area B Exterior,30,B1 F04 AF 7100 - N FL 04 Area B Ext Ext Insul,Ext Insul
Building 1 North,Floor 04,Area B Exterior,21,B1 F04 AF 9201 - N FL 04 Area B Ext Int Frame,Int Frame
Building 1 North,Floor 04,Area B Exterior,46,B1 F04 AF 9250 - N FL 04 Area B Ext Drywall H,Drywall H
Building 1 North,Floor 04,Area B Exterior,37,B1 F04 AF 9265 - N FL 04 Area B Ext Ext Firet,Ext Firet
Building 1 North,Floor 04,Area B Exterior,14,B1 F04 AF 9270 - N FL 04 Area B Ext Firetape ,Firetape
Building 1 North,Floor 04,Area B Exterior,31,B1 F04 AF 9280 - N FL 04 Area B Ext Tape Wall,Tape Wall
Building 2 South,Floor 01,Area C,44,B2 F01 AC 5400 - S FL 01 Area C Int Ext Frame,Ext Frame
Building 2 South,Floor 01,Area C,93,B2 F01 AC 7200 - S FL 01 Area C Int Int Insul,Int Insul
Building 2 South,Floor 01,Area C,25,B2 F01 AC 9200 - S FL 01 Area C Int Int Layou,Int Layou
Building 2 South,Floor 01,Area C,109,B2 F01 AC 9201 - S FL 01 Area C Int Int Frame,Int Frame
Building 2 South,Floor 01,Area C,72,B2 F01 AC 9202 - S FL 01 Area C Int Int Top T,Int Top T
Building 2 South,Floor 01,Area C,25,B2 F01 AC 9203 - S FL 01 Area C Int Int Shaft,Int Shaft
Building 2 South,Floor 01,Area C,51,B2 F01 AC 9206 - S FL 01 Area C Int Int Backi,Int Backi
Building 2 South,Floor 01,Area C,527,B2 F01 AC 9250 - S FL 01 Area C Int Drywall H,Drywall H
Building 2 South,Floor 01,Area C,160,B2 F01 AC 9270 - S FL 01 Area C Int Firetape ,Firetape
Building 2 South,Floor 01,Area C,300,B2 F01 AC 9280 - S FL 01 Area C Int Tape Wall,Tape Wall
Building 2 South,Floor 01,Area C Exterior,6,B2 F01 AG 5390 - S FL 01 Area C Ext Ext ,Ext
Building 2 South,Floor 01,Area C Exterior,71,B2 F01 AG 5400 - S FL 01 Area C Ext Ext Frame,Ext Frame
Building 2 South,Floor 01,Area C Exterior,40,B2 F01 AG 5450 - S FL 01 Area C Ext Sheathing,Sheathing
Building 2 South,Floor 01,Area C Exterior,38,B2 F01 AG 7100 - S FL 01 Area C Ext Ext Insul,Ext Insul
Building 2 South,Floor 01,Area C Exterior,63,B2 F01 AG 9250 - S FL 01 Area C Ext Drywall H,Drywall H
Building 2 South,Floor 01,Area C Exterior,40,B2 F01 AG 9265 - S FL 01 Area C Ext Ext Firet,Ext Firet
Building 2 South,Floor 01,Area C Exterior,18,B2 F01 AG 9270 - S FL 01 Area C Ext Firetape ,Firetape
Building 2 South,Floor 01,Area C Exterior,40,B2 F01 AG 9280 - S FL 01 Area C Ext Tape Wall,Tape Wall
Building 2 South,Floor 01,Area D,23,B2 F01 AD 5400 - S FL 01 Area D Int Ext Frame,Ext Frame
Building 2 South,Floor 01,Area D,128,B2 F01 AD 7200 - S FL 01 Area D Int Int Insul,Int Insul
Building 2 South,Floor 01,Area D,33,B2 F01 AD 9200 - S FL 01 Area D Int Int Layou,Int Layou
Building 2 South,Floor 01,Area D,304,B2 F01 AD 9201 - S FL 01 Area D Int Int Frame,Int Frame
Building 2 South,Floor 01,Area D,92,B2 F01 AD 9202 - S FL 01 Area D Int Int Top T,Int Top T
Building 2 South,Floor 01,Area D,60,B2 F01 AD 9206 - S FL 01 Area D Int Int Backi,Int Backi
Building 2 South,Floor 01,Area D,693,B2 F01 AD 9250 - S FL 01 Area D Int Drywall H,Drywall H
Building 2 South,Floor 01,Area D,175,B2 F01 AD 9270 - S FL 01 Area D Int Firetape ,Firetape
Building 2 South,Floor 01,Area D,558,B2 F01 AD 9280 - S FL 01 Area D Int Tape Wall,Tape Wall
Building 2 South,Floor 01,Area D Exterior,4,B2 F01 AH 5390 - S FL 01 Area D Ext Ext ,Ext
Building 2 South,Floor 01,Area D Exterior,131,B2 F01 AH 5400 - S FL 01 Area D Ext Ext Frame,Ext Frame
Building 2 South,Floor 01,Area D Exterior,121,B2 F01 AH 5450 - S FL 01 Area D Ext Sheathing,Sheathing
Building 2 South,Floor 01,Area D Exterior,98,B2 F01 AH 7100 - S FL 01 Area D Ext Ext Insul,Ext Insul
